award,key,name,movie,thumbnail
Best Picture,BridgeofSpies,Bridge of Spies,,BridgeofSpies.jpg
Best Picture,Brooklyn,Brooklyn,,Brooklyn.jpg
Best Picture,MadMax,Mad Max: Fury Road,,MadMax.jpg
Best Picture,Room,Room,,Room.jpg
Best Picture,Spotlight,Spotlight,,Spotlight.jpg
Best Picture,TheBigShort,The Big Short,,TheBigShort.jpg
Best Picture,TheMartian,The Martian,,TheMartian.jpg
Best Picture,TheRevenant,The Revenant,,TheRevenant.jpg
Actor,BryanCranston,Bryan Cranston, Trumbo,BryanCranston.jpg
Actor,EddieRedmayne,Eddie Redmayne, The Danish Girl,EddieRedmayne.jpg
Actor,LeonardoDiCaprio,Leonardo DiCaprio, The Revenant,LeonardoDiCaprio.jpg
Actor,MattDamon,Matt Damon, The Martian,MattDamon.jpg
Actor,MichaelFassbender,Michael Fassbender, Steve Jobs,MichaelFassbender.jpg
Actress,BrieLarson,Brie Larson, Room,BrieLarson.jpg
Actress,CateBlanchett,Cate Blanchett, Carol,CateBlanchett.jpg
Actress,CharlotteRampling,Charlotte Rampling, 45 Years,CharlotteRampling.jpg
Actress,JenniferLawrence,Jennifer Lawrence, Joy,JenniferLawrence.jpg
Actress,SaoirseRonan,Saoirse Ronan, Brooklyn,SaoirseRonan.jpg
Supporting Actor,ChristianBale,Christian Bale, The Big Short,ChristianBale.jpg
Supporting Actor,MarkRuffalo,Mark Ruffalo, Spotlight,MarkRuffalo.jpg
Supporting Actor,MarkRylance,Mark Rylance, Bridge of Spies,MarkRylance.jpg
Supporting Actor,SylvesterStallone,Sylvester Stallone, Creed,SylvesterStallone.jpg
Supporting Actor,TomHardy,Tom Hardy, The Revenant,TomHardy.jpg
Supporting Actress,AliciaVikander,Alicia Vikander, The Danish Girl,AliciaVikander.jpg
Supporting Actress,JenniferJasonLeigh,Jennifer Jason Leigh, The Hateful Eight,JenniferJasonLeigh.jpg
Supporting Actress,KateWinslet,Kate Winslet, Steve Jobs,KateWinslet.jpg
Supporting Actress,RachelMcAdams,Rachel McAdams, Spotlight,RachelMcAdams.jpg
Supporting Actress,RooneyMara,Rooney Mara, Carol,RooneyMara.jpg
Director,TheBigShort,Adam McKay,The Big Short,TheBigShort.jpg
Director,MadMax,George Miller,Mad Max: Fury Road,MadMax.jpg
Director,TheRevenant,Alejandro G. Iñárritu,The Revenant,TheRevenant.jpg
Director,Room,Lenny Abrahamson,Room,Room.jpg
Director,Spotlight,Tom McCarthy,Spotlight,Spotlight.jpg
Animated Film,Anomalisa,Anomalisa,,Anomalisa.jpg
Animated Film,BoyandtheWorld,Boy and the World,,BoyandtheWorld.jpg
Animated Film,InsideOut,Inside Out,,InsideOut.jpg
Animated Film,ShauntheSheepMovie,Shaun the Sheep Movie,,ShauntheSheepMovie.jpg
Animated Film,WhenMarnieWasThere,When Marnie Was There,,WhenMarnieWasThere.jpg
