term,date,datetime,minute,count
barcelona,04-23,2013-04-23 18:15:00,-30,3320
barcelona,04-23,2013-04-23 18:16:00,-29,3263
barcelona,04-23,2013-04-23 18:17:00,-28,3256
barcelona,04-23,2013-04-23 18:18:00,-27,3216
barcelona,04-23,2013-04-23 18:19:00,-26,3268
barcelona,04-23,2013-04-23 18:20:00,-25,3259
barcelona,04-23,2013-04-23 18:21:00,-24,3415
barcelona,04-23,2013-04-23 18:22:00,-23,3335
barcelona,04-23,2013-04-23 18:23:00,-22,3372
barcelona,04-23,2013-04-23 18:24:00,-21,3662
barcelona,04-23,2013-04-23 18:25:00,-20,3933
barcelona,04-23,2013-04-23 18:26:00,-19,3804
barcelona,04-23,2013-04-23 18:27:00,-18,3718
barcelona,04-23,2013-04-23 18:28:00,-17,3816
barcelona,04-23,2013-04-23 18:29:00,-16,4028
barcelona,04-23,2013-04-23 18:30:00,-15,4484
barcelona,04-23,2013-04-23 18:31:00,-14,5003
barcelona,04-23,2013-04-23 18:32:00,-13,5159
barcelona,04-23,2013-04-23 18:33:00,-12,5246
barcelona,04-23,2013-04-23 18:34:00,-11,5578
barcelona,04-23,2013-04-23 18:35:00,-10,5618
barcelona,04-23,2013-04-23 18:36:00,-9,5735
barcelona,04-23,2013-04-23 18:37:00,-8,6035
barcelona,04-23,2013-04-23 18:38:00,-7,6356
barcelona,04-23,2013-04-23 18:39:00,-6,6875
barcelona,04-23,2013-04-23 18:40:00,-5,7823
barcelona,04-23,2013-04-23 18:41:00,-4,9012
barcelona,04-23,2013-04-23 18:42:00,-3,10055
barcelona,04-23,2013-04-23 18:43:00,-2,11227
barcelona,04-23,2013-04-23 18:44:00,-1,11755
barcelona,04-23,2013-04-23 18:45:00,0,15662
barcelona,04-23,2013-04-23 18:46:00,1,11690
barcelona,04-23,2013-04-23 18:47:00,2,11019
barcelona,04-23,2013-04-23 18:48:00,3,9177
barcelona,04-23,2013-04-23 18:49:00,4,7635
barcelona,04-23,2013-04-23 18:50:00,5,7320
barcelona,04-23,2013-04-23 18:51:00,6,6445
barcelona,04-23,2013-04-23 18:52:00,7,5728
barcelona,04-23,2013-04-23 18:53:00,8,6486
barcelona,04-23,2013-04-23 18:54:00,9,6114
barcelona,04-23,2013-04-23 18:55:00,10,5395
barcelona,04-23,2013-04-23 18:56:00,11,5455
barcelona,04-23,2013-04-23 18:57:00,12,5228
barcelona,04-23,2013-04-23 18:58:00,13,5616
barcelona,04-23,2013-04-23 18:59:00,14,5688
barcelona,04-23,2013-04-23 19:00:00,15,5027
barcelona,04-23,2013-04-23 19:01:00,16,6363
barcelona,04-23,2013-04-23 19:02:00,17,6853
barcelona,04-23,2013-04-23 19:03:00,18,6171
barcelona,04-23,2013-04-23 19:04:00,19,5490
barcelona,04-23,2013-04-23 19:05:00,20,4857
barcelona,04-23,2013-04-23 19:06:00,21,4641
barcelona,04-23,2013-04-23 19:07:00,22,4968
barcelona,04-23,2013-04-23 19:08:00,23,4990
barcelona,04-23,2013-04-23 19:09:00,24,10120
barcelona,04-23,2013-04-23 19:10:00,25,22037
barcelona,04-23,2013-04-23 19:11:00,26,18587
barcelona,04-23,2013-04-23 19:12:00,27,12846
barcelona,04-23,2013-04-23 19:13:00,28,10495
barcelona,04-23,2013-04-23 19:14:00,29,9338
barcelona,04-23,2013-04-23 19:15:00,30,8124
barcelona,04-23,2013-04-23 19:16:00,31,7479
barcelona,04-23,2013-04-23 19:17:00,32,12772
barcelona,04-23,2013-04-23 19:18:00,33,15138
barcelona,04-23,2013-04-23 19:19:00,34,11391
barcelona,04-23,2013-04-23 19:20:00,35,9330
barcelona,04-23,2013-04-23 19:21:00,36,8574
barcelona,04-23,2013-04-23 19:22:00,37,8966
barcelona,04-23,2013-04-23 19:23:00,38,8461
barcelona,04-23,2013-04-23 19:24:00,39,8242
barcelona,04-23,2013-04-23 19:25:00,40,7545
barcelona,04-23,2013-04-23 19:26:00,41,6872
barcelona,04-23,2013-04-23 19:27:00,42,6877
barcelona,04-23,2013-04-23 19:28:00,43,6402
barcelona,04-23,2013-04-23 19:29:00,44,6269
barcelona,04-23,2013-04-23 19:30:00,45,9569
barcelona,04-23,2013-04-23 19:31:00,46,15073
barcelona,04-23,2013-04-23 19:32:00,47,13106
barcelona,04-23,2013-04-23 19:33:00,48,11589
barcelona,04-23,2013-04-23 19:34:00,49,9936
barcelona,04-23,2013-04-23 19:35:00,50,9320
barcelona,04-23,2013-04-23 19:36:00,51,9051
barcelona,04-23,2013-04-23 19:37:00,52,8262
barcelona,04-23,2013-04-23 19:38:00,53,8035
barcelona,04-23,2013-04-23 19:39:00,54,7737
barcelona,04-23,2013-04-23 19:40:00,55,7496
barcelona,04-23,2013-04-23 19:41:00,56,7178
barcelona,04-23,2013-04-23 19:42:00,57,6888
